time,workload,stores
11/3/2025 21:05,0,1
11/3/2025 21:05,0,1
11/3/2025 21:05,0,1
11/3/2025 21:05,0,1
11/3/2025 21:05,0,1
11/3/2025 21:05,0,1
11/3/2025 21:05,0,1
11/3/2025 21:05,0,1
11/3/2025 21:05,0,1
11/3/2025 21:05,0,1
11/3/2025 21:05,0,1
11/3/2025 21:05,0,1
11/3/2025 21:05,0,1
11/3/2025 21:05,0,1
11/3/2025 21:05,0,1
11/3/2025 21:06,0,1
11/3/2025 21:06,0,1
11/3/2025 21:06,0,1
11/3/2025 21:06,0,1
11/3/2025 21:06,0,1
11/3/2025 21:06,0,1
11/3/2025 21:06,0,1
11/3/2025 21:06,0,1
11/3/2025 21:06,0,1
11/3/2025 21:06,0,1
11/3/2025 21:06,0,1
11/3/2025 21:06,0,1
11/3/2025 21:06,0,1
11/3/2025 21:06,0,1
11/3/2025 21:06,0,1
11/3/2025 21:06,0,1
11/3/2025 21:06,0,1
11/3/2025 21:06,0,1
11/3/2025 21:06,0,1
11/3/2025 21:06,0,1
11/3/2025 21:06,0,1
11/3/2025 21:06,0,1
11/3/2025 21:06,0,1
11/3/2025 21:06,0,1
11/3/2025 21:06,0,1
11/3/2025 21:06,1,1
11/3/2025 21:06,1,1
11/3/2025 21:06,1,1
11/3/2025 21:06,1,1
11/3/2025 21:06,1,1
11/3/2025 21:07,1,1
11/3/2025 21:07,1,1
11/3/2025 21:07,1,1
11/3/2025 21:07,1,1
11/3/2025 21:07,1,1
11/3/2025 21:07,1,1
11/3/2025 21:07,1,1
11/3/2025 21:07,1,1
11/3/2025 21:07,1,1
11/3/2025 21:07,1,1
11/3/2025 21:07,1,1
11/3/2025 21:07,1,1
11/3/2025 21:07,1,1
11/3/2025 21:07,1,1
11/3/2025 21:07,1,1
11/3/2025 21:07,1,1
11/3/2025 21:07,1,1
11/3/2025 21:07,1,1
11/3/2025 21:07,1,1
11/3/2025 21:07,1,1
11/3/2025 21:07,1,1
11/3/2025 21:07,1,1
11/3/2025 21:07,1,1
11/3/2025 21:07,1,1
11/3/2025 21:07,1,1
11/3/2025 21:07,1,1
11/3/2025 21:07,1,1
11/3/2025 21:07,1,1
11/3/2025 21:07,1,1
11/3/2025 21:07,1,1
11/3/2025 21:08,1,1
11/3/2025 21:08,1,1
11/3/2025 21:08,1,1
11/3/2025 21:08,1,1
11/3/2025 21:08,1,1
11/3/2025 21:08,1,1
11/3/2025 21:08,1,1
11/3/2025 21:08,1,1
11/3/2025 21:08,1,1
11/3/2025 21:08,1,1
11/3/2025 21:08,1,1
11/3/2025 21:08,1,1
11/3/2025 21:08,1,1
11/3/2025 21:08,1,1
11/3/2025 21:08,1,1
11/3/2025 21:08,1,1
11/3/2025 21:08,1,1
11/3/2025 21:08,1,1
11/3/2025 21:08,1,1
11/3/2025 21:08,1,1
11/3/2025 21:08,1,1
11/3/2025 21:08,1,1
11/3/2025 21:08,1,1
11/3/2025 21:08,1,1
11/3/2025 21:08,1,1
11/3/2025 21:08,1,1
11/3/2025 21:08,1,1
11/3/2025 21:08,1,1
11/3/2025 21:08,1,1
11/3/2025 21:08,1,1
11/3/2025 21:09,1,1
11/3/2025 21:09,1,1
11/3/2025 21:09,1,1
11/3/2025 21:09,1,1
11/3/2025 21:09,1,1
11/3/2025 21:09,1,1
11/3/2025 21:09,1,1
11/3/2025 21:09,1,1
11/3/2025 21:09,1,1
11/3/2025 21:09,1,1
11/3/2025 21:09,1,1
11/3/2025 21:09,1,1
11/3/2025 21:09,1,1
11/3/2025 21:09,1,1
11/3/2025 21:09,1,1
11/3/2025 21:09,1,1
11/3/2025 21:09,1,1
11/3/2025 21:09,1,1
11/3/2025 21:09,1,1
11/3/2025 21:09,1,1
11/3/2025 21:09,1,1
11/3/2025 21:09,1,1
11/3/2025 21:09,1,1
11/3/2025 21:09,1,1
11/3/2025 21:09,1,1
11/3/2025 21:09,1,1
11/3/2025 21:09,1,1
11/3/2025 21:09,1,1
11/3/2025 21:09,1,1
11/3/2025 21:09,1,1
11/3/2025 21:10,1,1
11/3/2025 21:10,1,1
11/3/2025 21:10,1,1
11/3/2025 21:10,1,1
11/3/2025 21:10,1,1
11/3/2025 21:10,1,1
11/3/2025 21:10,1,1
11/3/2025 21:10,1,1
11/3/2025 21:10,1,1
11/3/2025 21:10,1,1
11/3/2025 21:10,1,1
11/3/2025 21:10,1,1
11/3/2025 21:10,1,1
11/3/2025 21:10,1,1
11/3/2025 21:10,1,1
11/3/2025 21:10,1,1
11/3/2025 21:10,1,1
11/3/2025 21:10,1,1
11/3/2025 21:10,1,1
11/3/2025 21:10,1,1
11/3/2025 21:10,1,1
11/3/2025 21:10,1,1
11/3/2025 21:10,1,1
11/3/2025 21:10,1,1
11/3/2025 21:10,1,1
11/3/2025 21:10,1,1
11/3/2025 21:10,1,1
11/3/2025 21:10,1,1
11/3/2025 21:10,1,1
11/3/2025 21:10,1,1
11/3/2025 21:11,1,1
11/3/2025 21:11,1,1
11/3/2025 21:11,1,1
11/3/2025 21:11,1,1
