time,workload,stores
11/4/2025 21:08,0,1
11/4/2025 21:08,0,1
11/4/2025 21:08,0,1
11/4/2025 21:08,0,1
11/4/2025 21:08,0,1
11/4/2025 21:08,0,1
11/4/2025 21:08,0,1
11/4/2025 21:08,0,1
11/4/2025 21:08,0,1
11/4/2025 21:08,0,1
11/4/2025 21:08,0,1
11/4/2025 21:08,0,1
11/4/2025 21:08,0,1
11/4/2025 21:08,0,1
11/4/2025 21:08,0,1
11/4/2025 21:08,0,1
11/4/2025 21:08,0,1
11/4/2025 21:08,0,1
11/4/2025 21:09,0,1
11/4/2025 21:09,0,1
11/4/2025 21:09,0,1
11/4/2025 21:09,0,1
11/4/2025 21:09,0,1
11/4/2025 21:09,0,1
11/4/2025 21:09,0,1
11/4/2025 21:09,0,1
11/4/2025 21:09,0,1
11/4/2025 21:09,0,1
11/4/2025 21:09,0,1
11/4/2025 21:09,0,1
11/4/2025 21:09,0,1
11/4/2025 21:09,0,1
11/4/2025 21:09,0,1
11/4/2025 21:09,0,1
11/4/2025 21:09,0,1
11/4/2025 21:09,0,1
11/4/2025 21:09,0,1
11/4/2025 21:09,0,1
11/4/2025 21:09,0,1
11/4/2025 21:09,0,1
11/4/2025 21:09,0,1
11/4/2025 21:09,0,1
11/4/2025 21:09,0,1
11/4/2025 21:09,0,1
11/4/2025 21:09,0,1
11/4/2025 21:09,0,1
11/4/2025 21:09,0,1
11/4/2025 21:09,0,1
11/4/2025 21:10,0,1
11/4/2025 21:10,0,1
11/4/2025 21:10,0,1
11/4/2025 21:10,0,1
11/4/2025 21:10,0,1
11/4/2025 21:10,0,1
11/4/2025 21:10,0,1
11/4/2025 21:10,0,1
11/4/2025 21:10,0,1
11/4/2025 21:10,0,1
11/4/2025 21:10,0,1
11/4/2025 21:10,0,1
11/4/2025 21:10,0,1
11/4/2025 21:10,0,1
11/4/2025 21:10,0,1
11/4/2025 21:10,0,1
11/4/2025 21:10,0,1
11/4/2025 21:10,0,1
11/4/2025 21:10,0,1
11/4/2025 21:10,0,1
11/4/2025 21:10,0,1
11/4/2025 21:10,0,1
11/4/2025 21:10,0,1
11/4/2025 21:10,0,1
11/4/2025 21:10,0,1
11/4/2025 21:10,1,1
11/4/2025 21:10,1,1
11/4/2025 21:10,1,1
11/4/2025 21:10,1,1
11/4/2025 21:10,1,1
