sep=,
"Time","p0.9"
2025-11-04 18:16:20,17.6 ms
2025-11-04 18:16:25,33.3 ms
2025-11-04 18:16:30,37.5 ms
2025-11-04 18:16:35,23.9 ms
2025-11-04 18:16:40,14.9 ms
2025-11-04 18:16:45,21.8 ms
2025-11-04 18:16:50,41.7 ms
2025-11-04 18:16:55,58.5 ms
2025-11-04 18:17:00,13.9 ms
2025-11-04 18:17:05,16.0 ms
2025-11-04 18:17:10,27.0 ms
2025-11-04 18:17:15,24.9 ms
2025-11-04 18:17:20,18.6 ms
2025-11-04 18:17:25,26.0 ms
2025-11-04 18:17:30,39.7 ms
2025-11-04 18:17:35,31.2 ms
2025-11-04 18:17:40,14.9 ms
2025-11-04 18:17:45,21.8 ms
2025-11-04 18:17:50,39.7 ms
2025-11-04 18:17:55,39.6 ms
2025-11-04 18:18:00,16.0 ms
2025-11-04 18:18:05,27.0 ms
2025-11-04 18:18:10,30.3 ms
2025-11-04 18:18:15,22.8 ms
2025-11-04 18:18:20,14.9 ms
2025-11-04 18:18:25,22.8 ms
2025-11-04 18:18:30,41.7 ms
2025-11-04 18:18:35,28.0 ms
2025-11-04 18:18:40,13.9 ms
2025-11-04 18:18:45,18.6 ms
2025-11-04 18:18:50,41.8 ms
2025-11-04 18:18:55,31.2 ms
2025-11-04 18:19:00,12.8 ms
2025-11-04 18:19:05,18.6 ms
2025-11-04 18:19:10,41.7 ms
2025-11-04 18:19:15,22.8 ms
2025-11-04 18:19:20,14.9 ms
2025-11-04 18:19:25,31.2 ms
2025-11-04 18:19:30,39.7 ms
2025-11-04 18:19:35,23.9 ms
2025-11-04 18:19:40,19.7 ms
2025-11-04 18:19:45,30.1 ms
2025-11-04 18:19:50,33.3 ms
2025-11-04 18:19:55,27.0 ms
2025-11-04 18:20:00,13.9 ms
2025-11-04 18:20:05,22.8 ms
2025-11-04 18:20:10,31.3 ms
2025-11-04 18:20:15,28.0 ms
2025-11-04 18:20:20,17.6 ms
2025-11-04 18:20:25,19.7 ms
2025-11-04 18:20:30,37.5 ms
2025-11-04 18:20:35,26.0 ms
2025-11-04 18:20:40,14.9 ms
2025-11-04 18:20:45,32.2 ms
2025-11-04 18:20:50,43.8 ms
2025-11-04 18:20:55,29.1 ms
2025-11-04 18:21:00,18.6 ms
2025-11-04 18:21:05,33.3 ms
2025-11-04 18:21:10,28.0 ms
2025-11-04 18:21:15,23.9 ms
2025-11-04 18:21:20,17.6 ms
2025-11-04 18:21:25,20.7 ms
2025-11-04 18:21:30,33.3 ms
2025-11-04 18:21:35,35.4 ms
2025-11-04 18:21:40,14.9 ms
2025-11-04 18:21:45,19.7 ms
2025-11-04 18:21:50,45.9 ms
2025-11-04 18:21:55,48.0 ms
2025-11-04 18:22:00,16.0 ms
2025-11-04 18:22:05,27.0 ms
2025-11-04 18:22:10,52.3 ms
2025-11-04 18:22:15,43.8 ms
2025-11-04 18:22:20,17.6 ms
2025-11-04 18:22:25,24.9 ms
2025-11-04 18:22:30,41.8 ms
2025-11-04 18:22:35,39.6 ms
2025-11-04 18:22:40,17.6 ms
2025-11-04 18:22:45,17.7 ms
2025-11-04 18:22:50,43.9 ms
2025-11-04 18:22:55,45.9 ms
2025-11-04 18:23:00,17.6 ms
2025-11-04 18:23:05,19.7 ms
2025-11-04 18:23:10,43.8 ms
2025-11-04 18:23:15,35.4 ms
2025-11-04 18:23:20,17.6 ms
2025-11-04 18:23:25,23.9 ms
2025-11-04 18:23:30,37.6 ms
2025-11-04 18:23:35,32.2 ms
2025-11-04 18:23:40,14.0 ms
2025-11-04 18:23:45,23.9 ms
2025-11-04 18:23:50,35.4 ms
2025-11-04 18:23:55,37.5 ms
2025-11-04 18:24:00,16.0 ms
2025-11-04 18:24:05,22.8 ms
2025-11-04 18:24:10,31.3 ms
2025-11-04 18:24:15,24.9 ms
2025-11-04 18:24:20,13.9 ms
2025-11-04 18:24:25,26.1 ms
2025-11-04 18:24:30,39.6 ms
2025-11-04 18:24:35,22.8 ms
2025-11-04 18:24:40,16.0 ms
2025-11-04 18:24:45,20.7 ms
2025-11-04 18:24:50,33.3 ms
2025-11-04 18:24:55,26.0 ms
2025-11-04 18:25:00,18.6 ms
2025-11-04 18:25:05,28.0 ms
2025-11-04 18:25:10,33.3 ms
2025-11-04 18:25:15,17.6 ms
2025-11-04 18:25:20,16.0 ms
2025-11-04 18:25:25,35.4 ms
2025-11-04 18:25:30,32.2 ms
2025-11-04 18:25:35,19.7 ms
2025-11-04 18:25:40,16.0 ms
2025-11-04 18:25:45,24.9 ms
2025-11-04 18:25:50,41.7 ms
2025-11-04 18:25:55,29.1 ms
2025-11-04 18:26:00,17.6 ms
2025-11-04 18:26:05,39.6 ms
2025-11-04 18:26:10,31.2 ms
