sep=,
"Time","p0.9"
2025-11-04 17:58:10,39.6 ms
2025-11-04 17:58:15,12.8 ms
2025-11-04 17:58:20,19.4 ms
2025-11-04 17:58:25,12.8 ms
2025-11-04 17:58:30,12.8 ms
2025-11-04 17:58:35,41.4 ms
2025-11-04 17:58:40,13.9 ms
2025-11-04 17:58:45,13.6 ms
2025-11-04 17:58:50,12.8 ms
2025-11-04 17:58:55,19.7 ms
2025-11-04 17:59:00,13.9 ms
2025-11-04 17:59:05,43.5 ms
2025-11-04 17:59:10,13.6 ms
2025-11-04 17:59:15,28.8 ms
2025-11-04 17:59:20,14.7 ms
2025-11-04 17:59:25,14.7 ms
2025-11-04 17:59:30,13.6 ms
2025-11-04 17:59:35,62.4 ms
2025-11-04 17:59:40,18.4 ms
2025-11-04 17:59:45,17.6 ms
2025-11-04 17:59:50,13.6 ms
2025-11-04 17:59:55,12.6 ms
2025-11-04 18:00:00,15.7 ms
2025-11-04 18:00:05,33.0 ms
2025-11-04 18:00:10,22.5 ms
2025-11-04 18:00:15,11.8 ms
2025-11-04 18:00:20,13.9 ms
2025-11-04 18:00:25,11.5 ms
2025-11-04 18:00:30,28.0 ms
2025-11-04 18:00:35,13.9 ms
2025-11-04 18:00:40,13.6 ms
2025-11-04 18:00:45,18.4 ms
2025-11-04 18:00:50,15.7 ms
2025-11-04 18:00:55,14.7 ms
2025-11-04 18:01:00,11.5 ms
2025-11-04 18:01:05,16.0 ms
2025-11-04 18:01:10,12.6 ms
2025-11-04 18:01:15,20.4 ms
2025-11-04 18:01:20,14.7 ms
2025-11-04 18:01:25,18.4 ms
2025-11-04 18:01:30,17.3 ms
2025-11-04 18:01:35,16.0 ms
2025-11-04 18:01:40,13.9 ms
2025-11-04 18:01:45,29.1 ms
2025-11-04 18:01:50,21.8 ms
2025-11-04 18:01:55,21.8 ms
2025-11-04 18:02:00,13.9 ms
2025-11-04 18:02:05,20.7 ms
2025-11-04 18:02:10,17.6 ms
2025-11-04 18:02:15,21.8 ms
2025-11-04 18:02:20,13.9 ms
2025-11-04 18:02:25,13.9 ms
2025-11-04 18:02:30,14.9 ms
2025-11-04 18:02:35,19.7 ms
2025-11-04 18:02:40,13.9 ms
2025-11-04 18:02:45,22.8 ms
2025-11-04 18:02:50,20.7 ms
2025-11-04 18:02:55,20.7 ms
2025-11-04 18:03:00,13.9 ms
2025-11-04 18:03:05,20.7 ms
2025-11-04 18:03:10,19.7 ms
2025-11-04 18:03:15,19.7 ms
2025-11-04 18:03:20,13.9 ms
2025-11-04 18:03:25,23.9 ms
2025-11-04 18:03:30,20.7 ms
2025-11-04 18:03:35,23.9 ms
2025-11-04 18:03:40,13.9 ms
2025-11-04 18:03:45,22.8 ms
2025-11-04 18:03:50,20.7 ms
2025-11-04 18:03:55,23.9 ms
2025-11-04 18:04:00,13.9 ms
2025-11-04 18:04:05,19.7 ms
2025-11-04 18:04:10,22.8 ms
2025-11-04 18:04:15,21.8 ms
2025-11-04 18:04:20,13.9 ms
2025-11-04 18:04:25,24.9 ms
2025-11-04 18:04:30,22.8 ms
2025-11-04 18:04:35,26.0 ms
2025-11-04 18:04:40,14.9 ms
2025-11-04 18:04:45,23.9 ms
2025-11-04 18:04:50,21.8 ms
2025-11-04 18:04:55,26.0 ms
2025-11-04 18:05:00,13.9 ms
2025-11-04 18:05:05,27.0 ms
2025-11-04 18:05:10,21.8 ms
2025-11-04 18:05:15,31.2 ms
2025-11-04 18:05:20,17.6 ms
2025-11-04 18:05:25,33.3 ms
2025-11-04 18:05:30,21.8 ms
2025-11-04 18:05:35,32.2 ms
2025-11-04 18:05:40,18.6 ms
2025-11-04 18:05:45,22.8 ms
2025-11-04 18:05:50,21.8 ms
2025-11-04 18:05:55,37.5 ms
2025-11-04 18:06:00,18.6 ms
2025-11-04 18:06:05,26.0 ms
2025-11-04 18:06:10,20.7 ms
2025-11-04 18:06:15,22.8 ms
2025-11-04 18:06:20,17.6 ms
2025-11-04 18:06:25,26.0 ms
2025-11-04 18:06:30,22.8 ms
2025-11-04 18:06:35,32.2 ms
2025-11-04 18:06:40,17.6 ms
2025-11-04 18:06:45,24.9 ms
2025-11-04 18:06:50,21.8 ms
2025-11-04 18:06:55,37.5 ms
2025-11-04 18:07:00,19.7 ms
2025-11-04 18:07:05,24.9 ms
2025-11-04 18:07:10,22.8 ms
2025-11-04 18:07:15,43.8 ms
2025-11-04 18:07:20,13.9 ms
2025-11-04 18:07:25,193 ms
2025-11-04 18:07:30,100 ms
2025-11-04 18:07:35,58.5 ms
2025-11-04 18:07:40,45.9 ms
2025-11-04 18:07:45,35.4 ms
2025-11-04 18:07:50,45.9 ms
2025-11-04 18:07:55,43.8 ms
2025-11-04 18:08:00,14.9 ms
2025-11-04 18:08:05,20.7 ms
2025-11-04 18:08:10,37.5 ms
2025-11-04 18:08:15,35.4 ms
2025-11-04 18:08:20,13.9 ms
2025-11-04 18:08:25,29.1 ms
2025-11-04 18:08:30,39.6 ms
2025-11-04 18:08:35,33.3 ms
2025-11-04 18:08:40,14.9 ms
2025-11-04 18:08:45,21.8 ms
2025-11-04 18:08:50,41.7 ms
2025-11-04 18:08:55,37.5 ms
2025-11-04 18:09:00,29.1 ms
2025-11-04 18:09:05,20.7 ms
2025-11-04 18:09:10,43.8 ms
2025-11-04 18:09:15,33.3 ms
2025-11-04 18:09:20,16.0 ms
2025-11-04 18:09:25,19.7 ms
2025-11-04 18:09:30,43.8 ms
2025-11-04 18:09:35,39.6 ms
2025-11-04 18:09:40,13.9 ms
2025-11-04 18:09:45,21.8 ms
2025-11-04 18:09:50,37.6 ms
2025-11-04 18:09:55,32.2 ms
2025-11-04 18:10:00,16.0 ms
2025-11-04 18:10:05,19.7 ms
2025-11-04 18:10:10,43.8 ms
2025-11-04 18:10:15,35.4 ms
2025-11-04 18:10:20,18.6 ms
2025-11-04 18:10:25,23.9 ms
2025-11-04 18:10:30,39.6 ms
2025-11-04 18:10:35,37.5 ms
2025-11-04 18:10:40,13.9 ms
2025-11-04 18:10:45,18.6 ms
2025-11-04 18:10:50,39.7 ms
2025-11-04 18:10:55,37.5 ms
2025-11-04 18:11:00,15.1 ms
2025-11-04 18:11:05,19.7 ms
2025-11-04 18:11:10,43.8 ms
2025-11-04 18:11:15,39.6 ms
2025-11-04 18:11:20,17.6 ms
2025-11-04 18:11:25,20.7 ms
2025-11-04 18:11:30,39.7 ms
2025-11-04 18:11:35,24.9 ms
2025-11-04 18:11:40,15.1 ms
2025-11-04 18:11:45,16.0 ms
2025-11-04 18:11:50,37.5 ms
2025-11-04 18:11:55,41.7 ms
2025-11-04 18:12:00,13.9 ms
2025-11-04 18:12:05,18.6 ms
2025-11-04 18:12:10,33.3 ms
2025-11-04 18:12:15,27.0 ms
2025-11-04 18:12:20,13.9 ms
2025-11-04 18:12:25,18.6 ms
2025-11-04 18:12:30,30.3 ms
2025-11-04 18:12:35,35.4 ms
2025-11-04 18:12:40,21.8 ms
2025-11-04 18:12:45,23.9 ms
2025-11-04 18:12:50,41.8 ms
2025-11-04 18:12:55,41.7 ms
2025-11-04 18:13:00,13.9 ms
2025-11-04 18:13:05,23.9 ms
2025-11-04 18:13:10,52.2 ms
2025-11-04 18:13:15,54.3 ms
2025-11-04 18:13:20,13.0 ms
2025-11-04 18:13:25,22.8 ms
2025-11-04 18:13:30,48.0 ms
2025-11-04 18:13:35,39.6 ms
2025-11-04 18:13:40,18.6 ms
2025-11-04 18:13:45,21.8 ms
2025-11-04 18:13:50,35.4 ms
2025-11-04 18:13:55,22.8 ms
2025-11-04 18:14:00,18.6 ms
2025-11-04 18:14:05,26.0 ms
2025-11-04 18:14:10,52.2 ms
2025-11-04 18:14:15,37.5 ms
2025-11-04 18:14:20,17.6 ms
2025-11-04 18:14:25,21.8 ms
2025-11-04 18:14:30,30.1 ms
2025-11-04 18:14:35,24.9 ms
2025-11-04 18:14:40,21.8 ms
2025-11-04 18:14:45,21.8 ms
2025-11-04 18:14:50,39.6 ms
2025-11-04 18:14:55,32.2 ms
2025-11-04 18:15:00,18.6 ms
2025-11-04 18:15:05,19.7 ms
2025-11-04 18:15:10,48.1 ms
2025-11-04 18:15:15,39.6 ms
2025-11-04 18:15:20,16.0 ms
2025-11-04 18:15:25,19.7 ms
2025-11-04 18:15:30,37.5 ms
2025-11-04 18:15:35,17.6 ms
2025-11-04 18:15:40,19.7 ms
2025-11-04 18:15:45,26.0 ms
2025-11-04 18:15:50,35.4 ms
2025-11-04 18:15:55,26.0 ms
2025-11-04 18:16:00,16.0 ms
2025-11-04 18:16:05,23.9 ms
2025-11-04 18:16:10,35.4 ms
2025-11-04 18:16:15,35.4 ms
